,lable,timesubmit,idemail,username,note,timeuse,address,Body,maintenance
349,other|other|other|other,1704878658.7414925,tony4,tony,,14,other|other|other|other,"Hi all. 

 

See you in Wings on Thursday afternoon. 

 

Hi ESPs, 

 

Would be good to have you in this discussion. It would be good to have wide input in terms of questions and scenarios for testing and feedback purposes.  

 

Please also consider other documents that could be included that we could feed into the ChatGPT model. 

 

Per Professor Fang, 

 

I have trained a ChatGPT model based on PDF files I downloaded from the fair trading website. 

 

http://ec2-3-27-108-194.ap-southeast-2.compute.amazonaws.com:7860 <http://ec2-3-27-108-194.ap-southeast-2.compute.amazonaws.com:7860/> 

 

Please have a try. This is only a teaser, demonstrating the potential capabilities (with a very simple dialogue UI). ChatGPT is a paid service for this kind of Q&A, for a couple of US cents per question. 

 

I will call a meeting to collect your feedback on:

1.	How accurate the answers are
2.	What questions it cannot answer (in terms of PM's need)
3.	What other documents we have to feed the ChatGPT model
4.	What the potential uses are for PM for this kind of services

We can then lay a plan forward to develop services for PM. 

 

 

_____________________________________________
From: Jason Liu <jasonliu@pia.com.au> 
Sent: Monday, 5 June 2023 1:34 PM
To: Dave King <daveking@pia.com.au>; Raj Guneet Pal SINGH <rajsingh@pia.com.au>
Cc: Fang Chen <fang.chen@proxima.com.au>
Subject: RE: ChatGPT model for PM

 

Hi Dave,

 

I have a NCAT on Thursday morning. I will be free in the afternoon. I hope that timing is convenient for you.

 

If you ever have any further enquires. Please do not hesitate to reply me directly via this email.

 

Have a nice day.

 

Kind Regards,

 

Jason, Shijie Liu

Portfolio Manager

PIA Property Management Department

2 Australia Avenue, Sydney Olympic Park, NSW, 2127

P 9192 2828

P 0439812913

W www.pia.com.au <http://www.pia.com.au/>  | E jasonliu@pia.com.au <mailto:jasonliu@pia.com.au> 



Please note: The information contained in this email communication may be confidential. If you are not the intended recipient of this email 

communication, please notify the sender of its incorrect delivery, and then destroy any electronic or paper copy of this message.

 

 

From: Dave King <daveking@pia.com.au <mailto:daveking@pia.com.au> > 
Sent: Monday, 5 June 2023 12:26 PM
To: Jason Liu <jasonliu@pia.com.au <mailto:jasonliu@pia.com.au> >; Raj Guneet Pal SINGH <rajsingh@pia.com.au <mailto:rajsingh@pia.com.au> >
Cc: Fang Chen <fang.chen@proxima.com.au <mailto:fang.chen@proxima.com.au> >
Subject: FW: ChatGPT model for PM

 

Hi Jason, 

 

I was thinking we should aim to have a mini meeting to discuss a strategy for to address & study/answers to the below questions.

I have some time on Thursday. Do you have a preferable time for us to run a meeting?

 

Please let me know?

1.	How accurate the answers are
2.	What questions it cannot answer (in terms of PM's need)
3.	What other documents we have to feed the ChatGPT model
4.	What the potential uses are for PM for this kind of services

 

Kind regards, 

 

Dave King

Customer Service Director 

2 Australia Avenue, Sydney Olympic Park, NSW, 2127

P 02 9192 2800 (Ext 511) | M 0427 155 651 | E daveking@pia.com.au <mailto:daveking@pia.com.au> 



Property Investment <http://www.pia.com.au/en/sydney-property-investment/>   |  Property Leasing <http://www.pia.com.au/en/rent-sydney-property/>   | Property Management <http://www.pia.com.au/en/property-management/> 

Please note: The information contained in this email communication may be confidential. If you are not the intended recipient 

of this email communication, please notify the sender of its incorrect delivery, and then destroy any electronic or paper copy of this message.

 

From: Fang Chen <fang.chen@proxima.com.au <mailto:fang.chen@proxima.com.au> > 
Sent: Monday, 5 June 2023 10:05 AM
To: jasonliu@pia.com.au <mailto:jasonliu@pia.com.au> ; Dave King <daveking@pia.com.au <mailto:daveking@pia.com.au> >; Raj Guneet Pal SINGH <rajsingh@pia.com.au <mailto:rajsingh@pia.com.au> >
Cc: Justin Wang <justin@pia.com.au <mailto:justin@pia.com.au> >; Darren Simmons <Darren.simmons@proxima.com.au <mailto:Darren.simmons@proxima.com.au> >
Subject: ChatGPT model for PM

 

Hi Dave/Jason/Raj,

 

I have trained a ChatGPT model based on PDF files I downloaded from the fair trading website. 

 

http://ec2-3-27-108-194.ap-southeast-2.compute.amazonaws.com:7860 <http://ec2-3-27-108-194.ap-southeast-2.compute.amazonaws.com:7860/> 

 

Please have a try. This is only a teaser, demonstrating the potential capabilities (with a very simple dialogue UI). ChatGPT is a paid service for this kind of Q&A, for a couple of US cents per question. 

 

I will call a meeting to collect your feedback on:

1.	How accurate the answers are
2.	What questions it cannot answer (in terms of PM's need)
3.	What other documents we have to feed the ChatGPT model
4.	What the potential uses are for PM for this kind of services

We can then lay a plan forward to develop services for PM. 

 

Kind regards,

Fang

 



	Fang Chen, PhD

	
Chief Operating Officer

	
M:  0414 362 968

	
E:  fang.chen@proxima.com.au <mailto:fang.chen@proxima.com.au> 

	
A:  2 Australia Ave, Sydney Olympic Park NSW 2127

	
www.proxima.com.au <http://www.proxima.com.au/>",other
350,account|rent|payment received|other,1704878695.697788,tony10,tony,,36,other|other|other|other,"Hi Jiayu Wang,

Thank you for your payment.

We can confirm your $1,260.00 was received on 08/11/2023.

Rent is now paid up to 17/11/2023 with a remainder of $0.00 toward next Weekly period.

What you need to do:

*	At this stage, $0.00 rent is outstanding and payment required.

*	Please note – your next Weekly rental payment $630.00 should be submitted 2-3 business days earlier than 17/11/2023.
*	Then please ensure payment scheduled regularly thereafter.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Jay, Junjie Hu
Senior Portfolio Manager | PIA Property Management Department
2 Australia Avenue, Sydney Olympic Park, NSW, 2127
P 9192 2828 (ext 579) | M 0499 388 080 | WeChat ID: PIA_Jay
W www.pia.com.au | E jayhu@pia.com.au 

Please note: The information contained in this email communication may be confidential. If you are not the intended recipient of this email 
communication, please notify the sender of its incorrect delivery, and then destroy any electronic or paper copy of this message.




<cid:embed-image9f48620c502d4c7785da3dd0fd6cdec0>

",account
351,account|rent|payment received|other,1704878719.6427402,tony11,tony,,23,other|other|other|other,"Hi Liwei Ma,

Thank you for your payment.

We can confirm your $780.00 was received on 08/11/2023.

Rent is now paid up to 13/11/2023 with a remainder of $0.00 toward next Weekly period.

What you need to do:

*	At this stage, $0.00 rent is outstanding and payment required.

*	Please note – your next Weekly rental payment $780.00 should be submitted 2-3 business days earlier than 13/11/2023.
*	Then please ensure payment scheduled regularly thereafter.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-imagee83debd791a045758bfea8df58139837>

",account
352,other|other|other|other,1704878733.0234416,tony16,tony,,13,other|other|other|other,"<cid:384569079340201542122374>

",other
353,other|other|other|other,1704878749.3956237,tony19,tony,,16,other|other|other|other,"Hi Tony Jiayu Wang, 
We have received a rent payment $1,400.00 on 2023-11-09 for tenant of Lot 99, 21 Bowaga Circuit, Villawood NSW 2163 [Jiehong YAN] which does not equal to period amount.
Kindly please follow up the payment with tenant .
",other
354,other|other|other|other,1704878806.725544,tony20,tony,,57,other|other|other|other,"Hi Tony Jiayu Wang, 
We have received a rent payment $325.00 on 2023-11-09 for tenant of Lot 251, Unit 405/2 River Road West, Parramatta NSW 2150 [Bin REN] [RIVI505A] which does not equal to period amount.
Kindly please follow up the payment with tenant .
",other
355,other|other|other|other,1704878813.3826275,tony21,tony,,6,other|other|other|other,"Hi Tony Jiayu Wang, 
We have received a rent payment $30.00 on 2023-11-09 for tenant of Lot 28, Unit 28/20-24 Sorrell Street, PARRAMATTA NSW 2150 [Vera LEE] which does not equal to period amount.
Kindly please follow up the payment with tenant .
",other
356,other|other|other|other,1704878819.1027453,tony22,tony,,5,other|other|other|other,"Hi Tony Jiayu Wang, 
We have received a rent payment $88.11 on 2023-11-09 for tenant of Lot 7, Unit 7/8-10 Watkins Road, Baulkham Hills NSW 2153 [Grace MAK | Daniel MAK] which does not equal to period amount.
Kindly please follow up the payment with tenant .
",other
357,other|other|other|other,1704878827.5261517,tony23,tony,,8,other|other|other|other,"<https://internal.aircall.io/assets/emails/logo_email-06ed2e41f3ae1923aaa8f41aa496e7843a0c26b72c80e67767b38aa7da569fea.jpg><https://mandrillapp.com/track/click/30210880/aircall.io?p=eyJzIjoiX3JRQjV1M1l0NXMxU2xrYm96TkVqUGV6b2hrIiwidiI6MSwicCI6IntcInVcIjozMDIxMDg4MCxcInZcIjoxLFwidXJsXCI6XCJodHRwczpcXFwvXFxcL2FpcmNhbGwuaW9cXFwvXCIsXCJpZFwiOlwiOGY0M2NiNGZjMjE2NGEwOGFlYWQ1OWIzNzE4OGYzMjhcIixcInVybF9pZHNcIjpbXCIzYjIyMWEyODI3NjIxYWU0NDc4NzE2NTIwNTg5YjAxZjhjYzQ0MTJlXCJdfSJ9>Voicemail

Hello Tony,

You received a voicemail
[icon voicemail<https://internal.aircall.io/assets/emails/ico_voicemail-19a8e64f81179d5b7299215a13cbf226cad627351a0769718cd6cdc6f1af2cc4.jpg>]
+61 410 684 191 Left a voicemail:

20s
09 Nov - 10:23 (UTC+11:00) Click here to listen <https://mandrillapp.com/track/click/30210880/assets.aircall.io?p=eyJzIjoiaW5mNDcwUERuSWtPN0RuYmJQRlZPT1RWWFdvIiwidiI6MSwicCI6IntcInVcIjozMDIxMDg4MCxcInZcIjoxLFwidXJsXCI6XCJodHRwczpcXFwvXFxcL2Fzc2V0cy5haXJjYWxsLmlvXFxcL2NhbGxzXFxcLzE2NzQ2NTQ4OTZcXFwvdm9pY2VtYWlsXCIsXCJpZFwiOlwiOGY0M2NiNGZjMjE2NGEwOGFlYWQ1OWIzNzE4OGYzMjhcIixcInVybF9pZHNcIjpbXCJlMjA2NzljNGQzMjEwYzRjYTQ2Mzg5ZmZkZDlmYTY2OWRkMDVjOTQzXCJdfSJ9>
The Aircall team

Copyright © 2014-2023 Aircall. All rights reserved.
[<https://mandrillapp.com/track/open.php?u=30210880&id=8f43cb4fc2164a08aead59b37188f328>]
",other
358,other|other|other|other,1704878834.5324388,tony24,tony,,6,other|other|other|other,"
<http://www.pia.com.au/static/images/pia_logo.png>IT Change Request 






Dears,  

Your request 2956 - Property not appear in in/out going condition report system has been approved by CRAFT. 

ID 2956<http://cr.mypia.com.au/request/home/?id=2956> Created by Tony Wang Created at Thu 10:56 a.m. 09/11/2023 Approved by Approved at CRAFT meeting Approved by Thu 10:57 a.m. 09/11/2023 Work done at Closed at Objective 
Property not appear in in/out going condition report system
Problem 
Property not appear in in/out going condition report system
Address Lot 106, 100 Hannaford Avenue, Box Hill NSW 2765
Request Change 
Condition report needed
Impact 
Leasing team
Comments Date Staff Notes Supporter Alex Chiu, Reina He 


",other
359,other|other|other|other,1704878842.37972,tony25,tony,,7,other|other|other|other,"
<http://www.pia.com.au/static/images/pia_logo.png>IT Change Request 






Dears,  

Your change request 2956 - Property not appear in in/out going condition report system has been supported by Reina He. 

ID 2956<http://cr.mypia.com.au/request/home/?id=2956> Created by Tony Wang Created at Thu 10:56 a.m. 09/11/2023 Approved by Approved at CRAFT meeting Approved by Work done at Closed at Objective 
Property not appear in in/out going condition report system
Problem 
Property not appear in in/out going condition report system
Address Lot 106, 100 Hannaford Avenue, Box Hill NSW 2765
Request Change 
Condition report needed
Impact 
Leasing team
Comments Date Staff Notes Supporter Alex Chiu, Reina He 


",other
360,strata|notice to resident|other|other,1704878886.2003706,tony26,tony,,43,other|other|other|other,"[<https://buildinglink.com/v2/global/Image.ashx?Type=MailTemplateImage&ImageId=188720&width=90&dt=1109230009&digest=rsJqdl8Tf5nrux00HsfYZQ>]Entrada SP84890 20 Victoria Road
North Parramatta New South Wales 2150 Residential Water Shut Down - Monday 13th November 2023 from 10am to 1pm  
RESIDENTIAL WATER SHUT DOWN

MONDAY 13th November 2023

From 10:00 am to 1:00 pm

 

 

Dear Owners and Residents,

 

Building Management advises the Residential Water Supply, 

will be Shut down on Monday 13th November 2023 from,

10:00 am to 1:00 pm, to allow urgent repairs to be completed.

 

Please Note

Owners and Residents should not turn their taps on during the shutdown period and if you do, and no water comes out at all, you must turn them off again. **This is to prevent flooding when the water is turned back on**.

 

Thank you for your patience and understanding.

 

Regards,

 

Building Management

[<https://jc73p7ph.r.us-east-1.awstrack.me/I0/0100018bb1699dfb-c7daeef7-bb83-418c-810f-09389f4b75ac-000000/ig6caSNSWuwUPUxAmlwEwhu7Jic=347>]

",strata
361,other|other|other|other,1704878900.980294,tony27,tony,,14,other|other|other|other,"Hi Team, 

Please find below for a list of properties whose condition report is not yet ready. 
Property Address PM Vacating Date Available Date Rental Status LM Move In Date LA Sign Date Unit 4104 (-), 10 Porter St, RYDE NSW 2112 (tonywang) Jiayu Wang 07/11/2023 15/11/2023 For Lease (kelvinli) Qiang Li Unit - (-), 100 Hannaford Avenue, Box Hill NSW 2765 (tonywang) Jiayu Wang 04/09/2023 02/11/2023 Deposit Taken (junfang) Jun Fang 10/11/2023 09/11/2023 10:30 
Regards

",other
362,account|rent|arrears|other,1704878916.9657793,tony32,tony,,15,other|other|other|other,"Hi Faraj Saad N Alshahrani,

Please note, your rent is currently 2 day(s) in arrears; paid up to 07/11/2023 and $0.00 credit for the next period from 08/11/2023.

The last payment we've received was $560.00 on 03/11/2023. For your reference, attached is your complete tenancy ledger.

If you’ve submitted any rental payments from 03/11/2023 or after receiving this email, please send through the payment confirmation as a response to clarify the situation.

Otherwise, please submit the required payment of $560.00 to have your account reconciled and rent paid up for the corresponding period.

Rental payments are required to be processed 3 days prior to the due date as it can take up to 3 days for any electronic payment to be cleared and received.

Please note – your Weekly rental payment $560.00 should be submitted no later than Sunday per week / fortnight.


Once the payment for the above is processed and to avoid this issue in future - ensure your next rental payment is submitted no later than Sunday 12/11/2023, then scheduled regularly thereafter.

Kindly note - rental arrears reminders will reflect on your permanent rental history.

If you have any questions or queries - please respond to this email, we’ll be happy to further explain.

Your landlord appreciates your cooperation.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-imageb407ce5fb8394f5292d218af2f992516>

",account
